model_a,model_b,matrix_kind,hidden_dim,vocab,boundary_rank_w_first_3_losses,rank_affine_at_boundary,ratio_rW_1,ratio_at_boundary,ratio_boundary_plus_1,ratio_boundary_plus_2,ratio_rW_8,ratio_rW_16,ratio_rW_32,ratio_rW_64,ratio_rW_128,affine_wins_1_to_8,affine_wins_1_to_16,affine_wins_1_to_32,affine_wins_1_to_64,affine_wins_1_to_128
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,lm_head,896,151936,51,896,1.5778153350630437,0.9955030159686379,0.9905180808778168,0.9856007482861512,1.385088081860389,1.2612038536488128,1.1081444115730772,0.9355544789264102,0.7339016339419137,8,16,32,50,50
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,lm_head,1536,151936,1,49,0.9329815551094656,0.9329815551094656,0.903725826633978,0.8905232645703608,0.8545586591386383,0.8266937983365724,0.7956384264620362,0.7602071109629406,0.7241957891183742,0,0,0,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,1,37,0.9833180274722086,0.9833180274722086,0.946628820849289,0.9319640485917733,0.8943869385480753,0.8647198665480827,0.8329128690549172,0.7951192033978643,0.7529086400045725,0,0,0,0,0
Qwen2.5-7B,Qwen2.5-7B-Instruct,lm_head,3584,152064,8,173,1.1581917319113215,0.9985131940320956,0.9926973544155857,0.9866698865877247,0.9985131940320956,0.9596054967012904,0.9138846130115694,0.855992149252862,0.782872701032599,7,7,7,7,7
Qwen2.5-14B,Qwen2.5-14B-Instruct,lm_head,5120,152064,11,168,1.180735266128636,0.9939819020002051,0.9868147269066816,0.9796418136128512,1.0224121282875565,0.9603182827926817,0.8926140779120767,0.8250590497127839,0.7660991504851898,8,10,10,10,10
Qwen2.5-32B,Qwen2.5-32B-Instruct,lm_head,5120,152064,7,107,1.088253814790557,0.9936946419273245,0.9868679677749534,0.9817977608718412,0.9868679677749534,0.9529595748925483,0.9080124555211851,0.854065251482529,0.797737671909894,6,6,6,6,6
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,lm_head,8192,152064,3,29,1.0807340350109373,0.9998378347461317,0.9888570998439274,0.9801219858322519,0.9633862546947403,0.9398047001428473,0.9156545447082791,0.8824371554810657,0.834803876336115,2,2,2,2,2
Qwen3-0.6B-Base,Qwen3-0.6B,lm_head,1024,151936,39,1024,6.001784089606212,0.9914481740458724,0.9829666154109995,0.9747955729709749,1.803755645901236,1.3632425947163904,1.060197661072559,0.8396714270991652,0.6617943235256676,8,16,32,38,38
Qwen3-1.7B-Base,Qwen3-1.7B,lm_head,2048,151936,55,2048,4.180041249199177,0.9993193786634874,0.993882682219577,0.9886150145375235,1.550544366879938,1.2854427333222285,1.125479034350587,0.9552528754097196,0.7697039306135045,8,16,32,54,54
Qwen3-4B-Base,Qwen3-4B,lm_head,2560,151936,77,2323,4.989307336479545,0.998633252405268,0.9948775993284412,0.9911381785789055,1.7859639651719,1.4525160096812855,1.2402059678114417,1.051042129319325,0.8437544575260959,8,16,32,64,76
Qwen3-8B-Base,Qwen3-8B,lm_head,4096,151936,82,1561,4.447351932175511,0.9980381879311375,0.9958763703876083,0.993715606943486,1.6076088178315915,1.3500551952799948,1.1816665718763348,1.0430672636389118,0.9150075597353589,8,16,32,64,81
Qwen3-14B-Base,Qwen3-14B,lm_head,5120,151936,76,1165,4.298023864584027,0.9999523672506527,0.9973598436069204,0.9948780036777582,1.7316487518436252,1.4301171769083691,1.2067126090264755,1.0347022647087873,0.9040203715434101,8,16,32,64,75
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,lm_head,1024,248320,13,1024,4.265433678628369,0.9679143613645251,0.9311199002373187,0.8981527861393819,1.257404083990151,0.8681598297909044,0.6070603784350297,0.4290713123547927,0.30380620393392327,8,12,12,12,12
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,lm_head,2048,248320,25,1528,3.454377389571667,0.9997470048213064,0.98041377415035,0.9621784436467289,1.6336571175555776,1.2268668342648803,0.8812360654619031,0.605413140068109,0.41767880724886336,8,16,24,24,24
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,lm_head,2560,248320,31,1519,3.035174200719873,0.9935642381072841,0.9794839099172171,0.9658104753762466,1.6698689148824992,1.3086848129395592,0.9794839099172171,0.6910482210104442,0.4765031254926763,8,16,30,30,30
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,lm_head,4096,248320,57,1756,5.037449228517103,0.9940364992282837,0.9879647082000336,0.9819738989061741,1.95319609131454,1.5442269884914392,1.216541495752175,0.9541629759273859,0.7348060096830011,8,16,32,56,56
Llama-3.1-8B,Llama-3.1-8B-Instruct,lm_head,4096,128256,44,710,2.818451830218981,0.9962014051734521,0.991045748679531,0.985921845341217,1.6472094873683745,1.3224683846928653,1.0800586839209183,0.916513084443558,0.795181092330006,8,16,32,43,43
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,lm_head,8192,128256,70,582,2.1816592356163937,0.9995315184337682,0.9973209481030149,0.994971596913864,1.5702926330760514,1.3399489385654553,1.1482288977347925,1.0149001075412658,0.9015111588272683,8,16,32,64,69
Llama-3.2-1B,Llama-3.2-1B-Instruct,lm_head,2048,128256,109,2048,3.041650080537484,0.998971416477908,0.9962469796732062,0.9935736320195573,2.03241437882848,1.665315543196342,1.3873340216085752,1.1719731114968148,0.9527088429360654,8,16,32,64,108
Llama-3.2-3B,Llama-3.2-3B-Instruct,lm_head,3072,128256,,,2.872934363057566,,,,2.025557471128735,1.7145041203786018,1.4426800926838776,1.2368040492010268,1.0628200376796353,8,16,32,64,128
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,4,224,1.2981108247512383,0.9892732282620456,0.943161360482022,0.9194306006771287,0.8801130575946096,0.7990168574199679,0.7274585659721416,0.653488306899447,0.5851169131979288,3,3,3,3,3
Gemma-2-9B,Gemma-2-9B-Instruct,lm_head,3584,256000,41,1484,2.6002796816567635,0.99982464510713,0.996692724470048,0.9936131345884025,1.2735506318069514,1.1361151950828206,1.0320251237172848,0.9412023596580837,0.8429675847059156,8,16,32,40,40
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,4608,256000,20,565,2.9968820832088054,0.9997111407303537,0.9911101693054153,0.9831028453165093,1.1994636445723916,1.0409606986792963,0.9233715223088537,0.8387937693731109,0.7615118495999663,8,16,19,19,19
Gemma-3-4B,Gemma-3-4B-Instruct,lm_head,2560,262208,26,1344,4.315497466377396,0.9930687596568653,0.9827533119689388,0.9727325702033824,1.4342693149552623,1.141893993453397,0.9357327625211912,0.7481673706857321,0.5772553427581872,8,16,25,25,25
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,3840,262208,47,1628,2.1794194613384508,0.9997041771953863,0.9958752089107096,0.9922663043154362,1.3419444850612916,1.1864086510406338,1.063790631962484,0.9414316039484422,0.7636147416412052,8,16,32,46,46
Gemma-3-27B,Gemma-3-27B-Instruct,lm_head,5376,262208,28,696,2.5753876172903576,0.9973388438502162,0.9889366190085508,0.9811245141279462,1.4277549108278016,1.1637782951800208,0.966740140044882,0.8347593924140946,0.6999890193628581,8,16,27,27,27
