model,model_group,tied,E_mean_var_range,U_mean_var_range
DeepSeek-R1,deepseek_r1,False,"3.157231 (var=0.2051) [0.4932, 4.6584]","6.671840 (var=0.9238) [1.0978, 10.5217]"
DeepSeek-R1-0528,deepseek_r1,False,"3.157231 (var=0.2051) [0.4932, 4.6583]","6.672058 (var=0.9241) [1.0951, 10.5214]"
DeepSeek-R1-Distill-Llama-70B,deepseek_r1_distill_llama,False,"0.815139 (var=0.0142) [2.48e-05, 1.1039]","0.939833 (var=0.0212) [0.3526, 1.8159]"
DeepSeek-R1-Distill-Llama-8B,deepseek_r1_distill_llama,False,"0.681320 (var=0.0072) [2.00e-21, 0.9349]","0.904038 (var=0.0159) [0.4241, 1.7867]"
DeepSeek-R1-Distill-Qwen-1.5B,deepseek_r1_distill_qwen,False,"1.166084 (var=0.0286) [0.7301, 1.9898]","1.139323 (var=0.0220) [0.7417, 1.8831]"
DeepSeek-R1-Distill-Qwen-14B,deepseek_r1_distill_qwen,False,"1.144279 (var=0.0885) [0, 1.7813]","1.185399 (var=0.0470) [0.2556, 1.9807]"
DeepSeek-R1-Distill-Qwen-32B,deepseek_r1_distill_qwen,False,"1.208453 (var=0.1143) [0, 1.9023]","1.231278 (var=0.0519) [0.3633, 2.0152]"
DeepSeek-R1-Distill-Qwen-7B,deepseek_r1_distill_qwen,False,"1.036247 (var=0.1556) [0, 1.9747]","1.028780 (var=0.0268) [0.5733, 1.7559]"
DeepSeek-V2-Lite,deepseek_v2_moe,False,"5.785749 (var=1.9551) [0.2565, 9.0419]","6.739806 (var=1.1509) [1.5730, 12.3584]"
DeepSeek-V2-Lite-Chat,deepseek_v2_moe,False,"5.785708 (var=1.9550) [0.2565, 9.0391]","6.738328 (var=1.1502) [1.5730, 12.3340]"
DeepSeek-V3.2,deepseek_v3_moe,False,"3.152761 (var=0.2030) [0.4932, 4.6509]","6.669526 (var=0.9224) [1.0978, 10.5036]"
DeepSeek-V3.2-Speciale,deepseek_v3_moe,False,"3.152765 (var=0.2030) [0.4932, 4.6509]","6.669406 (var=0.9223) [1.0959, 10.5030]"
DeepSeek-V4-Flash,deepseek_v4_moe,False,"7.287117 (var=2.9017) [0.3713, 47.2974]","11.286922 (var=2.1266) [4.4208, 29.7707]"
DeepSeek-V4-Pro,deepseek_v4_moe,False,"7.427170 (var=1.2792) [0.4955, 27.6903]","9.535568 (var=1.8793) [4.3047, 22.3227]"
GLM-5-744B,glm5,False,"0.706962 (var=0.0127) [0.0033, 0.9649]","1.512671 (var=0.0520) [0.4311, 5.1391]"
GLM-5.1,glm5.1,False,"0.705331 (var=0.0126) [0.0032, 0.9607]","1.505300 (var=0.0517) [0.4296, 5.1247]"
MiniMax-M2.5-Chat,minimax_m2.5,False,"1.324694 (var=0.0048) [0.0041, 3.1751]","0.936824 (var=0.0144) [0.4545, 1.9335]"
MiniMax-M2.7,minimax_m2.7,False,"1.323906 (var=0.0048) [0.0040, 3.1698]","0.945065 (var=0.0145) [0.4749, 1.8978]"
Qwen3-235B-A22B,qwen3,False,"0.992486 (var=0.0576) [0.0014, 1.6248]","1.313835 (var=0.0613) [0.2236, 2.1081]"
Qwen3-32B,qwen3,False,"1.274539 (var=0.0972) [0.0046, 2.5087]","1.355534 (var=0.0670) [0.3374, 2.3485]"
Qwen3.5-122B-A10B-Instruct,qwen3.5_moe,False,"0.659187 (var=0.0141) [2.39e-05, 1.0029]","0.845786 (var=0.0099) [0.3721, 1.3784]"
Qwen3.5-27B-Instruct,qwen3.5_dense,False,"0.878096 (var=0.0227) [4.20e-06, 1.1720]","0.982275 (var=0.0157) [0.3673, 1.7412]"
Qwen3.5-397B-A17B-Instruct,qwen3.5_moe,False,"0.736892 (var=0.0186) [0.0007, 1.1204]","1.184456 (var=0.0215) [0.2922, 1.9190]"
Qwen3.6-35B-A3B,qwen3.6,False,"0.554700 (var=0.0060) [0.0005, 0.7859]","0.826123 (var=0.0086) [0.3897, 1.6330]"
