scale_group,series_a,series_b,model_a,model_b,gcorr_E_euc,gcorr_E_cos,align_mode,hidden_a,hidden_b
gt_4b_lt_27b,gemma2,qwen3.5_dense,Gemma-2-9B-Instruct,Qwen3.5-9B-Instruct,-0.3231,0.2884,string,3584,4096
gt_4b_lt_27b,qwen3,gemma2,Qwen3-8B,Gemma-2-9B-Instruct,-0.2797,0.2850,string,4096,3584
gt_4b_lt_27b,qwen2.5,gemma2,Qwen2.5-14B-Instruct,Gemma-2-9B-Instruct,-0.2756,0.2409,string,5120,3584
gt_4b_lt_27b,qwen2.5,gemma2,Qwen2.5-7B-Instruct,Gemma-2-9B-Instruct,-0.2717,0.2860,string,3584,3584
gt_4b_lt_27b,qwen3,gemma2,Qwen3-14B,Gemma-2-9B-Instruct,-0.2658,0.2778,string,5120,3584
ge_27b,llama,gemma4,Llama-3.1-70B-Instruct,Gemma-4-31B-Instruct,-0.1418,0.4582,string,8192,5376
ge_27b,gemma3,qwen3.5_dense,Gemma-3-27B-Instruct,Qwen3.5-27B-Instruct,-0.1159,0.4250,string,5376,5120
ge_27b,qwen2.5,gemma2,Qwen2.5-72B-Instruct,Gemma-2-27B-Instruct,-0.1075,0.2240,string,8192,4608
ge_27b,qwen2.5,gemma3,Qwen2.5-32B-Instruct,Gemma-3-27B-Instruct,-0.1054,0.3500,string,5120,5376
ge_27b,qwen2.5,gemma2,Qwen2.5-32B-Instruct,Gemma-2-27B-Instruct,-0.1003,0.2415,string,5120,4608
ge_27b,qwen3,gemma2,Qwen3-32B,Gemma-2-27B-Instruct,-0.0925,0.2817,string,5120,4608
ge_27b,qwen3,gemma3,Qwen3-32B,Gemma-3-27B-Instruct,-0.0863,0.4226,string,5120,5376
gt_4b_lt_27b,gemma3,qwen3.5_dense,Gemma-3-12B-Instruct,Qwen3.5-9B-Instruct,-0.0852,0.4743,string,3840,4096
ge_27b,qwen3,gemma2,Qwen3-235B-A22B,Gemma-2-27B-Instruct,-0.0814,0.2312,string,4096,4608
gt_4b_lt_27b,qwen3,gemma3,Qwen3-8B,Gemma-3-12B-Instruct,-0.0785,0.4136,string,4096,3840
ge_27b,qwen3,gemma3,Qwen3-235B-A22B,Gemma-3-27B-Instruct,-0.0777,0.3929,string,4096,5376
gt_4b_lt_27b,qwen2.5,gemma3,Qwen2.5-14B-Instruct,Gemma-3-12B-Instruct,-0.0739,0.3721,string,5120,3840
ge_27b,qwen2.5,gemma3,Qwen2.5-72B-Instruct,Gemma-3-27B-Instruct,-0.0674,0.3853,string,8192,5376
gt_4b_lt_27b,qwen3,gemma3,Qwen3-14B,Gemma-3-12B-Instruct,-0.0611,0.4493,string,5120,3840
ge_27b,gemma2,qwen3.5_dense,Gemma-2-27B-Instruct,Qwen3.5-27B-Instruct,-0.0578,0.2979,string,4608,5120
gt_4b_lt_27b,llama,gemma4,Llama-3.1-8B-Instruct,Gemma-4-26B-A4B-Instruct,-0.0429,0.4335,string,4096,2816
le_4b,llama,gemma2,Llama-3.2-3B-Instruct,Gemma-2-2B-Instruct,-0.0275,0.6545,string,3072,2304
le_4b,llama,gemma2,Llama-3.2-1B-Instruct,Gemma-2-2B-Instruct,-0.0042,0.6750,string,2048,2304
