model_a,model_b,variant,gcorr_E_euc,gcorr_E_cos,task1_saved_euc
Gemma-4-26B-A4B,Gemma-4-26B-A4B-Instruct,raw,0.4536,0.8197,0.4405
Gemma-4-26B-A4B,Gemma-4-26B-A4B-Instruct,row_unit,0.8864,0.8197,0.4405
Gemma-4-26B-A4B,Gemma-4-26B-A4B-Instruct,match_inst_norm_to_base,0.8864,0.8197,0.4405
Gemma-4-31B,Gemma-4-31B-Instruct,raw,0.5495,0.9538,0.5712
Gemma-4-31B,Gemma-4-31B-Instruct,row_unit,0.9807,0.9538,0.5712
Gemma-4-31B,Gemma-4-31B-Instruct,match_inst_norm_to_base,0.9807,0.9538,0.5712
Gemma-4-E2B,Gemma-4-E2B-Instruct,raw,0.688,0.852,0.6756
Gemma-4-E2B,Gemma-4-E2B-Instruct,row_unit,0.906,0.852,0.6756
Gemma-4-E2B,Gemma-4-E2B-Instruct,match_inst_norm_to_base,0.906,0.852,0.6756
Gemma-4-E4B,Gemma-4-E4B-Instruct,raw,0.544,0.7925,0.5308
Gemma-4-E4B,Gemma-4-E4B-Instruct,row_unit,0.857,0.7925,0.5308
Gemma-4-E4B,Gemma-4-E4B-Instruct,match_inst_norm_to_base,0.857,0.7925,0.5308
Qwen3-8B-Base,Qwen3-8B,raw,1.0,0.9941,1.0
Qwen3-8B-Base,Qwen3-8B,row_unit,0.9941,0.9941,1.0
Qwen3-8B-Base,Qwen3-8B,match_inst_norm_to_base,1.0,0.9941,1.0
