model,hidden_dim,vocab_size,actual_tied,n_fit,R2_EU,rel_err_EU,norm_A_EU,norm_b_EU
DeepSeek-R1-0528,7168,129280,False,24000,0.47326974163763547,0.7234926550700769,155.70037841796875,0.9544656276702881
DeepSeek-R1-Distill-Qwen-1.5B,1536,151936,False,24000,0.9621642875426311,0.16210124877396662,36.231937408447266,0.09148997068405151
DeepSeek-V2-Lite-Chat,2048,102400,False,24000,0.3276282142193643,0.7980244249054929,28.31499671936035,2.7872402667999268
DeepSeek-R1-Distill-Llama-8B,4096,128256,False,24000,0.2566029156755574,0.832229212246058,44.04032897949219,0.3498329222202301
DeepSeek-R1-Distill-Qwen-7B,3584,152064,False,24000,0.21552120355183535,0.8054411788937589,59.560333251953125,0.4968602955341339
DeepSeek-R1,7168,129280,False,24000,0.47409268119733516,0.722946207747377,155.35560607910156,0.9630581140518188
DeepSeek-R1-Distill-Qwen-32B,5120,152064,False,24000,0.2680371921457143,0.8444345007318751,118.30674743652344,0.26134270429611206
DeepSeek-R1-Distill-Qwen-14B,5120,152064,False,24000,0.2686965595912837,0.8451941223754871,109.17749786376953,0.22603729367256165
DeepSeek-R1-Distill-Llama-70B,8192,128256,False,24000,0.4105444883955859,0.7610818946363106,90.56278228759766,0.28239917755126953
DeepSeek-V2-Lite,2048,102400,False,24000,0.32817153925790177,0.7978884210306786,28.381216049194336,2.8615829944610596
DeepSeek-V3-Base,7168,129280,False,24000,0.47362202216460025,0.7233095391205261,155.42208862304688,0.9686323404312134
DeepSeek-V3.1,7168,129280,False,24000,0.4738199348092984,0.7231944764495558,155.5816650390625,0.9829524755477905
DeepSeek-V3.2,7168,129280,False,24000,0.47396363940211017,0.7231067295309372,155.9005889892578,0.9846726655960083
DeepSeek-V4-Flash,4096,129280,False,24000,0.41761011338399745,0.7589487846746898,72.4780044555664,3.1413896083831787
DeepSeek-V3.1-Base,7168,129280,False,24000,0.4738941721234391,0.7231026380192163,155.50973510742188,0.9818316698074341
DeepSeek-V3,7168,129280,False,24000,0.47445789381345704,0.7226749267902214,155.429443359375,0.9759833216667175
DeepSeek-V3.2-Speciale,7168,129280,False,24000,0.4738004080919378,0.7232016397662531,155.83168029785156,0.9974662065505981
GLM-5.1,6144,154880,False,24000,0.43225886085403775,0.7376646705643145,132.0288543701172,0.3682388961315155
Gemma-2-27B-Instruct,4608,256000,True,0,1.0,0.0,nan,nan
Gemma-2-2B-Instruct,2304,256000,True,0,1.0,0.0,nan,nan
DeepSeek-V4-Pro,7168,129280,False,24000,0.4881971485782537,0.7116053876847831,100.7363052368164,3.3727424144744873
GLM-5-744B,6144,154880,False,24000,0.4326941285247734,0.7372498798696893,132.34207153320312,0.36994796991348267
Gemma-2-2B,2304,256000,True,0,1.0,0.0,nan,nan
Gemma-3-12B-Instruct,3840,262208,True,0,1.0,0.0,nan,nan
Gemma-2-9B,3584,256000,True,0,1.0,0.0,nan,nan
Gemma-3-1B-Instruct,1152,262144,True,0,1.0,0.0,nan,nan
Gemma-2-9B-Instruct,3584,256000,True,0,1.0,0.0,nan,nan
Gemma-3-4B-Instruct,2560,262208,True,0,1.0,0.0,nan,nan
Gemma-3-12B,3840,262208,True,0,1.0,0.0,nan,nan
Gemma-3-4B,2560,262208,True,0,1.0,0.0,nan,nan
Gemma-2-27B,4608,256000,True,0,1.0,0.0,nan,nan
Gemma-3-27B-Instruct,5376,262208,True,0,1.0,0.0,nan,nan
Gemma-3-27B,5376,262208,True,0,1.0,0.0,nan,nan
Gemma-4-E2B,1536,262144,True,0,1.0,0.0,nan,nan
Gemma-3-1B,1152,262144,True,0,1.0,0.0,nan,nan
Gemma-4-E4B,2560,262144,True,0,1.0,0.0,nan,nan
Gemma-4-26B-A4B,2816,262144,True,0,1.0,0.0,nan,nan
Gemma-4-E4B-Instruct,2560,262144,True,0,1.0,0.0,nan,nan
Gemma-4-E2B-Instruct,1536,262144,True,0,1.0,0.0,nan,nan
Gemma-4-26B-A4B-Instruct,2816,262144,True,0,1.0,0.0,nan,nan
Llama-3.2-1B,2048,128256,True,0,1.0,0.0,nan,nan
Llama-3.2-1B-Instruct,2048,128256,True,0,1.0,0.0,nan,nan
Llama-3.2-3B,3072,128256,True,0,1.0,0.0,nan,nan
Gemma-4-31B,5376,262144,True,0,1.0,0.0,nan,nan
Gemma-4-31B-Instruct,5376,262144,True,0,1.0,0.0,nan,nan
Llama-3.2-3B-Instruct,3072,128256,True,0,1.0,0.0,nan,nan
Llama-3.1-70B-Base,8192,128256,False,24000,0.4151661254314938,0.7587428066145598,91.94818878173828,0.29528114199638367
Qwen2.5-1.5B,1536,151936,True,0,1.0,0.0,nan,nan
Llama-3.1-70B-Instruct,8192,128256,False,24000,0.4118143612454246,0.7608905906947392,91.129150390625,0.2957930266857147
Qwen2.5-1.5B-Instruct,1536,151936,True,0,1.0,0.0,nan,nan
Llama-3.1-8B,4096,128256,False,24000,0.26529227626719853,0.8317946245350597,45.967166900634766,0.46956583857536316
Llama-3.1-8B-Instruct,4096,128256,False,24000,0.26110842246271815,0.8329069214274911,45.269832611083984,0.44810688495635986
Qwen2.5-0.5B,896,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-0.5B-Instruct,896,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-3B-Instruct,2048,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-3B,2048,151936,True,0,1.0,0.0,nan,nan
MiniMax-M2.5-Chat,3072,200064,False,24000,0.2760797842887065,0.8285446744731945,23.30500030517578,0.34801214933395386
Qwen2.5-14B-Instruct,5120,152064,False,24000,0.27184357887847976,0.846689669479164,111.61044311523438,0.20894859731197357
MiniMax-M2.7,3072,200064,False,24000,0.27623977168692526,0.8304545505590584,23.25437355041504,0.22559960186481476
Qwen2.5-14B,5120,152064,False,24000,0.2722617281180377,0.8469170119146171,111.41901397705078,0.19816631078720093
Qwen2.5-32B,5120,152064,False,24000,0.2702489566904116,0.8445886529609766,120.02452850341797,0.2517993450164795
Qwen2.5-7B-Instruct,3584,152064,False,24000,0.20670052067849143,0.8574789891251932,50.819950103759766,0.3549596965312958
Qwen3-0.6B,1024,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-32B-Instruct,5120,152064,False,24000,0.26970060607265856,0.8445152180361852,120.04292297363281,0.2555414140224457
Qwen3-1.7B,2048,151936,True,0,1.0,0.0,nan,nan
Qwen3-0.6B-Base,1024,151936,True,0,1.0,0.0,nan,nan
Qwen3-1.7B-Base,2048,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-7B,3584,152064,False,24000,0.20611476855026212,0.858530399885717,51.03961181640625,0.35286569595336914
Qwen3-30B-A3B,2048,151936,False,24000,0.24643244291766309,0.8371088292914204,26.628582000732422,0.31016063690185547
Qwen2.5-72B-Instruct,8192,152064,False,24000,0.3883475344803584,0.7623304292809224,126.07495880126953,0.2653902769088745
Qwen2.5-72B-Base,8192,152064,False,24000,0.3889423072708128,0.7618004325256672,126.73150634765625,0.26770707964897156
Qwen3-32B,5120,151936,False,24000,0.2693185998192801,0.843568087725294,112.8324203491211,0.38630440831184387
Qwen3-4B-Base,2560,151936,True,0,1.0,0.0,nan,nan
Qwen3-235B-A22B,4096,151936,False,24000,0.30338802884695903,0.8289401572859397,50.1225700378418,0.1698303371667862
Qwen3-4B,2560,151936,True,0,1.0,0.0,nan,nan
Qwen3-14B,5120,151936,False,24000,0.2734573941790919,0.8440052095870918,108.21184539794922,0.31757912039756775
Qwen3.5-0.8B-Instruct,1024,248320,True,0,1.0,0.0,nan,nan
Qwen3-8B,4096,151936,False,24000,0.2549256207649785,0.8408894317273226,61.37646484375,0.38730287551879883
Qwen3.5-2B-Instruct,2048,248320,True,0,1.0,0.0,nan,nan
Qwen3.5-2B-Base,2048,248320,True,0,1.0,0.0,nan,nan
Qwen3-14B-Base,5120,151936,False,24000,0.2764132565643994,0.8428797726974501,109.98507690429688,0.3231138586997986
Qwen3-8B-Base,4096,151936,False,24000,0.25935523228112256,0.8396532518935507,62.05665588378906,0.38756421208381653
Qwen3.5-27B-Instruct,5120,248320,False,24000,0.3083664060320187,0.8039072149328641,48.4851188659668,0.4868694543838501
Qwen3.5-122B-A10B-Instruct,3072,248320,False,24000,0.3122125220788905,0.7785404331609206,36.535438537597656,0.45103704929351807
Qwen3.5-35B-A3B-Instruct,2048,248320,False,24000,0.2707026873631341,0.8087886220903769,31.059097290039062,0.4971972405910492
Qwen3.5-0.8B-Base,1024,248320,True,0,1.0,0.0,nan,nan
Qwen3.5-4B-Instruct,2560,248320,True,0,1.0,0.0,nan,nan
Qwen3.5-9B-Instruct,4096,248320,False,24000,0.27402753149035486,0.816872327466949,38.49687194824219,0.49995458126068115
Qwen3.5-4B-Base,2560,248320,True,0,1.0,0.0,nan,nan
Qwen3.6-35B-A3B,2048,248320,False,24000,0.2712072502100198,0.8066259973483844,31.02057647705078,0.511638879776001
Qwen3.5-397B-A17B-Instruct,4096,248320,False,24000,0.3303866321781955,0.8053828672926281,60.46247863769531,0.3921414017677307
Qwen3.5-9B-Base,4096,248320,False,24000,0.27628495157748245,0.8162786751439116,38.77571105957031,0.5107378959655762
